,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
65,5YYW3yRktprLRr47WK219Y,0.585,0.611,6.0,-4.132,1.0,0.288,0.39,0.0,0.649,0.962,97.041,218107.0,4.0
66,1sZ39ZxvFo8FyMz4s7iVlf,0.613,0.704,4.0,-7.626,0.0,0.0713,0.14,0.0,0.727,0.587,84.926,280895.0,4.0
67,3VvA1wSxukMLsvXoXtlwWx,0.725,0.756,4.0,-5.013,1.0,0.0572,0.362,0.000685,0.103,0.828,100.07,186133.0,4.0
68,2XIc1pqjXV3Cr2BQUGNBck,0.856,0.618,7.0,-4.892,1.0,0.286,0.0303,0.0,0.0866,0.391,81.993,203201.0,4.0
69,4A9u8OrzFYbxdjiydkNdUi,0.834,0.485,7.0,-11.103,1.0,0.475,0.373,0.0,0.272,0.55,175.99,181928.0,4.0
70,2p2Q23iaaPSEa1tI6TsCVX,0.795,0.655,7.0,-3.815,1.0,0.0422,0.076,1.76e-06,0.296,0.744,93.029,215891.0,4.0
71,3OXxCquI8i14EigwILaLx9,0.718,0.805,6.0,-4.408,0.0,0.16,0.272,0.00248,0.127,0.697,179.978,203687.0,4.0
72,0B8yu7yLe1UsXv6gewHRv2,0.735,0.797,2.0,-5.328,1.0,0.0638,0.143,0.0,0.0823,0.471,105.765,167341.0,3.0
73,4loQgPwJHocL3dFwLfjb1J,0.823,0.537,8.0,-2.627,1.0,0.211,0.176,3.75e-06,0.124,0.608,175.965,231595.0,4.0
74,5u7twkeask1VIyDeNTElSU,0.786,0.899,10.0,-0.515,1.0,0.127,0.192,0.000189,0.299,0.813,90.025,216510.0,4.0
75,5kuidI7QNbpJCB1ObdCPKx,0.694,0.757,7.0,-5.082,1.0,0.0408,0.0177,0.0,0.102,0.698,93.998,186383.0,4.0
76,0TBbNYzmtCfN5cpZSCVNIz,0.763,0.784,2.0,-3.131,1.0,0.203,0.284,4.5e-06,0.145,0.609,95.045,143925.0,4.0
77,2mM3gZ0BbPwPPMelbA8vgt,0.824,0.837,5.0,-4.603,1.0,0.107,0.573,1.66e-05,0.271,0.58,100.021,289933.0,4.0
78,3lCbsHaN1wCxyDzcNN2x4N,0.72,0.613,1.0,-6.899,0.0,0.0572,0.185,0.0,0.155,0.857,84.974,182199.0,4.0
79,2dl5K2ScW7jYhAhuem06cm,0.773,0.8,10.0,-3.17,0.0,0.0987,0.0613,0.00403,0.0327,0.842,89.988,184507.0,4.0
80,27t4JURZ1Tv7a3zMfPneAw,0.756,0.268,1.0,-12.364,1.0,0.406,0.206,7.98e-05,0.051,0.477,172.163,141076.0,4.0
81,7dpXCztbsLVnkLdcskLgKc,0.803,0.64,11.0,-5.915,1.0,0.246,0.202,1.42e-06,0.0723,0.727,176.08,214432.0,4.0
82,2mMZAd3ol9wGI2WJl4XJCF,0.773,0.668,4.0,-4.254,0.0,0.366,0.374,0.0,0.0763,0.741,150.043,157419.0,4.0
83,4C6BlqqMwjFzOXzqpTeoWR,0.878,0.713,5.0,-4.566,0.0,0.0948,0.0581,0.0,0.0822,0.615,92.028,202373.0,4.0
84,3Zf4GutWZ7Hv3wsVQsSQPs,0.862,0.72,4.0,-4.155,1.0,0.0361,0.476,0.0,0.0543,0.967,129.993,197284.0,4.0
85,6RV9pRLIQiXm3qTGeyQluf,0.788,0.789,0.0,-2.39,1.0,0.124,0.397,0.0,0.226,0.867,167.897,179005.0,4.0
86,27OeeYzk6klgBh83TSvGMA,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,161385.0,4.0
87,0UKUfxIkDAMZz7hMdiVX3m,0.473,0.592,5.0,-6.859,1.0,0.138,0.0528,0.0,0.131,0.292,159.7,138573.0,4.0
88,0siYMEsGrzzzlWLXK5zJfS,0.671,0.782,6.0,-4.593,1.0,0.0341,0.0142,0.00221,0.333,0.618,123.989,178088.0,4.0
89,5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,1.0,-7.846,1.0,0.0379,0.418,0.0,0.124,0.808,124.917,162803.0,4.0
90,4wqzOaLxiCRy2Et8tRyNSX,0.817,0.775,10.0,-4.767,0.0,0.108,0.277,0.0,0.108,0.806,126.984,234334.0,4.0
91,2cnKST6T9qUo2i907lm8zX,0.725,0.713,4.0,-6.173,0.0,0.187,0.127,0.0,0.617,0.207,65.988,148421.0,4.0
92,0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6.0,-2.926,0.0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210.0,4.0
93,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
94,2gqWRRCXnma9L8xQ1RdemQ,0.719,0.598,9.0,-6.254,1.0,0.077,0.232,0.0,0.115,0.303,142.592,126521.0,4.0
95,6cx06DFPPHchuUAcTxznu9,0.734,0.874,8.0,-3.158,1.0,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028.0,4.0
96,60ynsPSSKe6O3sfwRnIBRf,0.749,0.463,11.0,-8.433,1.0,0.0828,0.208,0.0371,0.337,0.19,90.028,226987.0,4.0
97,0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,0.0,-9.744,1.0,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800.0,4.0
98,3J8EOeKLTLXORtWPpOU5bE,0.907,0.393,4.0,-7.636,0.0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458.0,4.0
99,1diS6nkxMQc3wwC4G1j0bh,0.722,0.588,6.0,-5.932,1.0,0.0544,0.0319,0.0,0.183,0.59,134.01,165507.0,4.0
100,1VLtjHwRWOVJiE5Py7JxoQ,0.832,0.534,1.0,-7.813,0.0,0.253,0.345,0.0,0.165,0.116,93.924,132833.0,4.0
101,4xN9cgMVhYyhnugUFZdhcZ,0.854,0.572,8.0,-5.678,1.0,0.0971,0.136,0.0987,0.108,0.35,100.027,207573.0,4.0
102,4txsSBdT4yVJtUj41YaQEB,0.959,0.524,1.0,-7.262,1.0,0.183,0.0686,0.0,0.0913,0.285,102.022,152280.0,4.0
103,2knDuFWczh1Wv92eBAdPTa,0.743,0.601,11.0,-9.126,1.0,0.0615,0.336,2.37e-06,0.0902,0.445,82.009,176251.0,4.0
104,3iw6V4LH7yPj1ESORX9RIN,0.722,0.893,0.0,-3.255,0.0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750.0,4.0
105,79lc69ZXfL4WmJIzVSDmWT,0.863,0.739,9.0,-5.879,0.0,0.153,0.0289,0.0256,0.0931,0.547,129.964,174021.0,4.0
106,28tBoBognmn3BBdfjPzSw9,0.698,0.733,7.0,-5.251,0.0,0.0905,0.148,0.0,0.133,0.703,180.07,151563.0,4.0
107,1fW5PpJSmPiVXAi0l92PHm,0.85,0.681,0.0,-6.298,1.0,0.149,0.35,0.0171,0.0824,0.399,98.044,177851.0,4.0
108,6z7fOAKMA2CcnVzRrNR2T3,0.667,0.587,2.0,-10.022,1.0,0.163,0.0909,0.000878,0.409,0.137,145.949,130479.0,4.0
109,5ZIFzmhVJRO3tRwtBXrPXh,0.885,0.634,6.0,-6.467,1.0,0.0821,0.384,7.78e-06,0.11,0.597,99.046,157253.0,4.0
110,4pt5fDVTg5GhEvEtlz9dKk,0.75,0.608,1.0,-4.008,1.0,0.0387,0.00165,0.0,0.178,0.958,132.507,173347.0,4.0
