,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
70,132wAeR05o10R9iSjA1XAE,0.959,0.521,2.0,-7.496,1.0,0.364,0.0852,6.29e-05,0.204,0.408,130.058,174827.0,4.0
71,3ZeyEvTgSlKajHc0fckgZT,0.602,0.898,2.0,-3.789,0.0,0.0364,4.39e-05,0.000109,0.356,0.566,111.036,230707.0,4.0
72,6OufwUcCqo81guU2jAlDVP,0.727,0.681,5.0,-7.114,0.0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970.0,4.0
73,3ydmNkAyYq0AKtG8sTfE9P,0.829,0.425,10.0,-8.992,0.0,0.499,0.375,0.0,0.169,0.716,147.873,221462.0,4.0
74,6shEr6AgLBDlfYlax2UzzL,0.626,0.344,7.0,-7.867,1.0,0.0318,0.808,0.0,0.0773,0.304,119.895,219896.0,4.0
75,4S4RWAA749dKyJQ5CiKEBJ,0.285,0.419,4.0,-7.243,1.0,0.0286,0.338,3.26e-06,0.197,0.244,66.355,175960.0,4.0
76,1aX0Ki80LFzzhqxqRlqbAV,0.605,0.881,10.0,-2.563,1.0,0.153,0.123,0.0,0.038,0.928,193.788,157880.0,4.0
77,5Dmq7XPXXcATuJnSOj8UrT,0.678,0.819,6.0,-4.646,1.0,0.0577,0.00283,2.67e-06,0.112,0.722,125.968,175914.0,4.0
78,0qxLQ6opocOGyFnlXqJ53x,0.601,0.36,9.0,-7.791,0.0,0.0877,0.586,0.0,0.0882,0.335,124.993,276480.0,4.0
79,4hsTQQgfBnBgtBkTGKWS1G,0.935,0.474,2.0,-9.525,1.0,0.222,0.393,0.00157,0.07,0.577,111.046,129987.0,4.0
80,6Pgc3ulraOY7usQgIaIpK6,0.685,0.658,10.0,-8.062,0.0,0.0723,0.00842,8.67e-05,0.39,0.631,91.977,291613.0,4.0
81,1ISMa0THMDKFBq2UMfm02e,0.542,0.647,1.0,-4.973,1.0,0.0277,0.071,0.0,0.108,0.281,92.999,173786.0,4.0
82,5zxZ7M4RgWZUHlMEwac8vt,0.503,0.759,10.0,-5.222,0.0,0.0423,0.00237,1.06e-06,0.13,0.396,90.015,184000.0,4.0
83,4AIatGjGyVipeEAzCMTqOg,0.614,0.867,2.0,-3.484,1.0,0.114,0.0231,0.0,0.0821,0.775,148.885,161040.0,4.0
84,5D2L026JQTKC2gcq3qkYpj,0.587,0.715,2.0,-6.414,0.0,0.0271,0.434,1.85e-05,0.32,0.589,107.964,183093.0,4.0
85,76TRCnbYfo9GU5DPsZ1uI9,0.752,0.664,1.0,-7.392,0.0,0.0775,0.28,0.0,0.102,0.468,107.02,179439.0,4.0
86,6Vfo6O3hk38vDcSpazNo3p,0.635,0.641,4.0,-3.674,0.0,0.0329,0.18,0.0,0.0959,0.218,122.83,253587.0,4.0
87,5Z8Dj3LtbyCMiwE86rhg2f,0.761,0.781,5.0,-6.778,0.0,0.141,0.0681,0.108,0.0607,0.473,123.023,285375.0,4.0
88,4ajjeZhSAVz2Zp9rf9OTIL,0.694,0.76,11.0,-7.216,0.0,0.0464,0.00495,0.00566,0.134,0.511,119.987,178500.0,4.0
89,4K215Fh7PF53yfeSPGtq2L,0.56,0.832,9.0,-4.288,0.0,0.159,0.0316,4.3e-06,0.0966,0.128,87.044,234483.0,4.0
90,0x4GMUtMeZAbti9fhDQnhj,0.533,0.91,2.0,-4.526,0.0,0.0435,0.0213,0.0,0.0699,0.393,146.869,180000.0,4.0
91,6R6i1KOZjiPYLZ8dC0cUgd,0.413,0.193,7.0,-7.94,1.0,0.0296,0.796,1.09e-06,0.095,0.312,94.112,188171.0,4.0
92,2lDgdWIGLYuk74pDeRPgPF,0.658,0.892,6.0,-2.928,0.0,0.036,0.00723,0.0,0.0723,0.919,107.944,162013.0,4.0
93,5sckZhskSmeF8TFJ05oSCB,0.665,0.886,10.0,-5.773,0.0,0.082,0.00319,1.22e-06,0.387,0.529,104.084,179787.0,4.0
94,1m0UFnuTktOkksvjbF9z0m,0.808,0.661,0.0,-6.237,0.0,0.0395,0.0358,0.0,0.138,0.804,107.992,235556.0,4.0
95,2ySHAi6CPwpGYdsomsezWg,0.352,0.741,7.0,-5.224,0.0,0.0353,0.144,0.0119,0.0938,0.246,160.747,248000.0,4.0
96,2l7V3AuTxGuswKjGovaSEv,0.376,0.846,7.0,-4.126,1.0,0.0464,0.00537,8e-06,0.186,0.408,96.176,209787.0,4.0
97,5GVMXVYBFyUeq1jz8IsGRq,0.718,0.718,0.0,-4.969,0.0,0.0609,0.479,8.8e-06,0.234,0.539,95.039,173375.0,4.0
98,3t8zZT7wYJKel10HgAE6tg,0.522,0.899,11.0,-6.173,0.0,0.0715,0.0159,0.0,0.22,0.805,109.665,91587.0,4.0
99,2gvIIpYdM9x1rdekmQMXCL,0.73,0.816,2.0,-6.087,1.0,0.177,0.201,0.19,0.253,0.569,124.989,172751.0,4.0
100,7MC4XR9M9amdmKQr2iDF7i,0.862,0.753,5.0,-5.356,1.0,0.0625,0.131,2.01e-06,0.077,0.827,105.039,182857.0,4.0
101,4AEHAp2MItoq5imMKJZbbS,0.702,0.68,6.0,-7.82,0.0,0.257,0.0277,0.878,0.207,0.473,134.044,202388.0,4.0
102,3M89zvwwb1jtDUDKYNsdiA,0.727,0.904,10.0,-3.408,0.0,0.064,0.0153,0.55,0.0963,0.372,124.02,128500.0,4.0
103,47Oyb8htn4LEQIbqytJ5bY,0.83,0.661,10.0,-5.584,1.0,0.0513,0.288,2.48e-06,0.0633,0.498,131.011,199758.0,4.0
104,2kQRGDr8EMesjnUFDKGNF3,0.7,0.703,9.0,-5.987,1.0,0.235,0.0542,1.35e-05,0.307,0.79,100.001,178200.0,4.0
105,2Dk8sNfat2COxyyeoH76Tt,0.765,0.649,11.0,-7.157,0.0,0.442,0.287,0.0,0.54,0.711,142.008,193933.0,4.0
106,3q7Grbds92sfawcFFo1Vcu,0.771,0.363,1.0,-10.873,0.0,0.179,0.186,0.0,0.0913,0.44,115.95,219939.0,4.0
107,6EQR7Y5vVZFiPD0RUECIDv,0.791,0.915,10.0,-2.48,1.0,0.0809,0.0622,0.0,0.244,0.732,121.948,194262.0,4.0
108,1bwhDrXcAtqePp8mNJ0pTe,0.805,0.637,6.0,-6.515,1.0,0.0869,0.228,0.0,0.071,0.678,140.045,179427.0,4.0
109,3Hb9kUdm4yf839Fle4RIdT,0.828,0.599,11.0,-1.624,1.0,0.149,0.381,0.0,0.0775,0.478,86.533,171692.0,5.0
110,5UyIXwFO6EFJoj586MVKOZ,0.507,0.834,9.0,-14.187,1.0,0.0503,0.33,0.759,0.284,0.555,173.15,152660.0,4.0
111,2hhFpD32iXUd4GaCu6T4wn,0.823,0.731,3.0,-4.273,1.0,0.307,0.422,0.0,0.306,0.877,90.3,195693.0,4.0
112,5MOu26ElQmvJfgkhAcJPcN,0.838,0.414,11.0,-15.615,0.0,0.415,0.747,0.000162,0.0921,0.88,160.229,78000.0,4.0
113,4nfpbsiYbB0TVBOeJ7X7Z0,0.779,0.463,4.0,-7.194,0.0,0.0516,0.193,3.17e-06,0.0779,0.433,113.81,169944.0,4.0
114,2uj7OACDZUQIvAfKAwtHES,0.754,0.563,1.0,-6.468,1.0,0.0601,0.289,0.0,0.109,0.914,160.029,185093.0,4.0
115,2vd2HEhrkafOi2uveHjzzh,0.825,0.878,9.0,-5.485,0.0,0.186,0.128,8.94e-05,0.0963,0.847,126.994,197520.0,4.0
116,0fukO3WYYUHaXOrvEohpEG,0.721,0.588,4.0,-7.801,0.0,0.0501,0.37,0.00208,0.1,0.276,150.031,263577.0,4.0
117,3y1fkvCTbBhNXQpR56KXYC,0.776,0.56,11.0,-10.458,0.0,0.0403,0.77,0.0288,0.164,0.283,119.98,148000.0,4.0
118,4ZOc7tUkd0GmejDjs13tFG,0.87,0.71,10.0,-6.743,0.0,0.118,0.515,0.000201,0.121,0.752,108.985,125505.0,4.0
